Notes,Infant Birth Weight 12,Infant Birth Weight 12 Code,County of Residence,County of Residence Code,Mother's Hispanic Origin,Mother's Hispanic Origin Code,Year,Year Code,Births,Average Birth Weight (grams)
,500 - 999 grams,2,"Placer County, CA",6061,Not Hispanic or Latino,2186-5,2019,2019,11,801.18
,500 - 999 grams,2,"Riverside County, CA",6065,Hispanic or Latino,2135-2,2019,2019,59,785.36
,500 - 999 grams,2,"Riverside County, CA",6065,Not Hispanic or Latino,2186-5,2019,2019,41,743.07
,500 - 999 grams,2,"Sacramento County, CA",6067,Hispanic or Latino,2135-2,2019,2019,31,783.35
,500 - 999 grams,2,"Sacramento County, CA",6067,Not Hispanic or Latino,2186-5,2019,2019,53,752.15
,500 - 999 grams,2,"San Bernardino County, CA",6071,Hispanic or Latino,2135-2,2019,2019,71,728.03
,500 - 999 grams,2,"San Bernardino County, CA",6071,Not Hispanic or Latino,2186-5,2019,2019,60,753.28
,500 - 999 grams,2,"San Diego County, CA",6073,Hispanic or Latino,2135-2,2019,2019,52,789.94
,500 - 999 grams,2,"San Diego County, CA",6073,Not Hispanic or Latino,2186-5,2019,2019,61,735.89
,500 - 999 grams,2,"San Diego County, CA",6073,Unknown or Not Stated,9,2019,2019,37,734.49
,500 - 999 grams,2,"San Francisco County, CA",6075,Not Hispanic or Latino,2186-5,2019,2019,19,726.58
,500 - 999 grams,2,"San Joaquin County, CA",6077,Hispanic or Latino,2135-2,2019,2019,20,803.2
,500 - 999 grams,2,"San Joaquin County, CA",6077,Not Hispanic or Latino,2186-5,2019,2019,22,791.05
,500 - 999 grams,2,"San Mateo County, CA",6081,Hispanic or Latino,2135-2,2019,2019,13,806.31
,500 - 999 grams,2,"San Mateo County, CA",6081,Not Hispanic or Latino,2186-5,2019,2019,12,845.42
,500 - 999 grams,2,"Santa Clara County, CA",6085,Hispanic or Latino,2135-2,2019,2019,18,747
,500 - 999 grams,2,"Santa Clara County, CA",6085,Not Hispanic or Latino,2186-5,2019,2019,32,802.94
,500 - 999 grams,2,"Santa Clara County, CA",6085,Unknown or Not Stated,9,2019,2019,10,731.5
,500 - 999 grams,2,"Solano County, CA",6095,Not Hispanic or Latino,2186-5,2019,2019,14,729.86
,500 - 999 grams,2,"Stanislaus County, CA",6099,Hispanic or Latino,2135-2,2019,2019,12,820.33
,500 - 999 grams,2,"Tulare County, CA",6107,Hispanic or Latino,2135-2,2019,2019,23,741.74
,500 - 999 grams,2,"Ventura County, CA",6111,Hispanic or Latino,2135-2,2019,2019,20,707.45
,500 - 999 grams,2,"Ventura County, CA",6111,Not Hispanic or Latino,2186-5,2019,2019,12,826.75
,500 - 999 grams,2,"Unidentified Counties, CA",6999,Not Hispanic or Latino,2186-5,2019,2019,23,763.96
,500 - 999 grams,2,"Adams County, CO",8001,Hispanic or Latino,2135-2,2019,2019,16,791.44
,500 - 999 grams,2,"Adams County, CO",8001,Not Hispanic or Latino,2186-5,2019,2019,10,700.2
,500 - 999 grams,2,"Arapahoe County, CO",8005,Not Hispanic or Latino,2186-5,2019,2019,25,797.48
,500 - 999 grams,2,"Denver County, CO",8031,Hispanic or Latino,2135-2,2019,2019,18,833.11
,500 - 999 grams,2,"Denver County, CO",8031,Not Hispanic or Latino,2186-5,2019,2019,30,751.23
,500 - 999 grams,2,"El Paso County, CO",8041,Not Hispanic or Latino,2186-5,2019,2019,24,779.67
,500 - 999 grams,2,"Jefferson County, CO",8059,Not Hispanic or Latino,2186-5,2019,2019,18,727.89
,500 - 999 grams,2,"Larimer County, CO",8069,Not Hispanic or Latino,2186-5,2019,2019,13,743.77
,500 - 999 grams,2,"Weld County, CO",8123,Not Hispanic or Latino,2186-5,2019,2019,10,782.4
,500 - 999 grams,2,"Unidentified Counties, CO",8999,Not Hispanic or Latino,2186-5,2019,2019,13,803.85
,500 - 999 grams,2,"Fairfield County, CT",9001,Hispanic or Latino,2135-2,2019,2019,15,767.13
,500 - 999 grams,2,"Fairfield County, CT",9001,Not Hispanic or Latino,2186-5,2019,2019,27,801.89
,500 - 999 grams,2,"Hartford County, CT",9003,Hispanic or Latino,2135-2,2019,2019,14,800.5
,500 - 999 grams,2,"Hartford County, CT",9003,Not Hispanic or Latino,2186-5,2019,2019,40,787.52
,500 - 999 grams,2,"New Haven County, CT",9009,Not Hispanic or Latino,2186-5,2019,2019,22,778.45
,500 - 999 grams,2,"New London County, CT",9011,Not Hispanic or Latino,2186-5,2019,2019,11,801.36
,500 - 999 grams,2,"Tolland County, CT",9013,Not Hispanic or Latino,2186-5,2019,2019,13,745.85
,500 - 999 grams,2,"Kent County, DE",10001,Not Hispanic or Latino,2186-5,2019,2019,10,742.3
,500 - 999 grams,2,"New Castle County, DE",10003,Not Hispanic or Latino,2186-5,2019,2019,48,767.42
,500 - 999 grams,2,"Sussex County, DE",10005,Not Hispanic or Latino,2186-5,2019,2019,18,749.39
,500 - 999 grams,2,"District of Columbia, DC",11001,Not Hispanic or Latino,2186-5,2019,2019,52,784.27
,500 - 999 grams,2,"Alachua County, FL",12001,Not Hispanic or Latino,2186-5,2019,2019,17,742.12
,500 - 999 grams,2,"Bay County, FL",12005,Not Hispanic or Latino,2186-5,2019,2019,10,785.3
,500 - 999 grams,2,"Brevard County, FL",12009,Not Hispanic or Latino,2186-5,2019,2019,32,750.84
,500 - 999 grams,2,"Broward County, FL",12011,Hispanic or Latino,2135-2,2019,2019,42,753.76
,500 - 999 grams,2,"Broward County, FL",12011,Not Hispanic or Latino,2186-5,2019,2019,149,751.41
,500 - 999 grams,2,"Citrus County, FL",12017,Not Hispanic or Latino,2186-5,2019,2019,11,745.55
,500 - 999 grams,2,"Clay County, FL",12019,Not Hispanic or Latino,2186-5,2019,2019,19,747.58
,500 - 999 grams,2,"Collier County, FL",12021,Hispanic or Latino,2135-2,2019,2019,11,708.09
,500 - 999 grams,2,"Duval County, FL",12031,Not Hispanic or Latino,2186-5,2019,2019,76,789.04
,500 - 999 grams,2,"Escambia County, FL",12033,Not Hispanic or Latino,2186-5,2019,2019,20,755.7
,500 - 999 grams,2,"Hillsborough County, FL",12057,Hispanic or Latino,2135-2,2019,2019,34,755
,500 - 999 grams,2,"Hillsborough County, FL",12057,Not Hispanic or Latino,2186-5,2019,2019,65,740.94
,500 - 999 grams,2,"Lake County, FL",12069,Not Hispanic or Latino,2186-5,2019,2019,22,775.32
,500 - 999 grams,2,"Lee County, FL",12071,Hispanic or Latino,2135-2,2019,2019,12,809.33
,500 - 999 grams,2,"Lee County, FL",12071,Not Hispanic or Latino,2186-5,2019,2019,24,721.71
,500 - 999 grams,2,"Leon County, FL",12073,Not Hispanic or Latino,2186-5,2019,2019,20,762.15
,500 - 999 grams,2,"Manatee County, FL",12081,Not Hispanic or Latino,2186-5,2019,2019,12,736.25
,500 - 999 grams,2,"Marion County, FL",12083,Not Hispanic or Latino,2186-5,2019,2019,17,773.88
,500 - 999 grams,2,"Miami-Dade County, FL",12086,Hispanic or Latino,2135-2,2019,2019,110,759.14
,500 - 999 grams,2,"Miami-Dade County, FL",12086,Not Hispanic or Latino,2186-5,2019,2019,83,737.93
,500 - 999 grams,2,"Orange County, FL",12095,Hispanic or Latino,2135-2,2019,2019,36,731
,500 - 999 grams,2,"Orange County, FL",12095,Not Hispanic or Latino,2186-5,2019,2019,69,770.99
,500 - 999 grams,2,"Osceola County, FL",12097,Hispanic or Latino,2135-2,2019,2019,10,786.6
,500 - 999 grams,2,"Osceola County, FL",12097,Not Hispanic or Latino,2186-5,2019,2019,12,807
,500 - 999 grams,2,"Palm Beach County, FL",12099,Hispanic or Latino,2135-2,2019,2019,25,816.8
,500 - 999 grams,2,"Palm Beach County, FL",12099,Not Hispanic or Latino,2186-5,2019,2019,75,764.68
,500 - 999 grams,2,"Pasco County, FL",12101,Not Hispanic or Latino,2186-5,2019,2019,16,720.12
,500 - 999 grams,2,"Pinellas County, FL",12103,Not Hispanic or Latino,2186-5,2019,2019,33,755.12
,500 - 999 grams,2,"Polk County, FL",12105,Not Hispanic or Latino,2186-5,2019,2019,40,775.38
,500 - 999 grams,2,"Sarasota County, FL",12115,Not Hispanic or Latino,2186-5,2019,2019,16,868.19
,500 - 999 grams,2,"Volusia County, FL",12127,Not Hispanic or Latino,2186-5,2019,2019,17,707.94
,500 - 999 grams,2,"Unidentified Counties, FL",12999,Not Hispanic or Latino,2186-5,2019,2019,65,753.09
,500 - 999 grams,2,"Bibb County, GA",13021,Not Hispanic or Latino,2186-5,2019,2019,13,706.54
,500 - 999 grams,2,"Chatham County, GA",13051,Not Hispanic or Latino,2186-5,2019,2019,30,747.17
,500 - 999 grams,2,"Cherokee County, GA",13057,Not Hispanic or Latino,2186-5,2019,2019,19,719.05
,500 - 999 grams,2,"Clayton County, GA",13063,Not Hispanic or Latino,2186-5,2019,2019,29,807.24
,500 - 999 grams,2,"Cobb County, GA",13067,Not Hispanic or Latino,2186-5,2019,2019,45,773.24
,500 - 999 grams,2,"Columbia County, GA",13073,Not Hispanic or Latino,2186-5,2019,2019,12,767
,500 - 999 grams,2,"DeKalb County, GA",13089,Hispanic or Latino,2135-2,2019,2019,11,716.64
,500 - 999 grams,2,"DeKalb County, GA",13089,Not Hispanic or Latino,2186-5,2019,2019,72,755.65
,500 - 999 grams,2,"Douglas County, GA",13097,Not Hispanic or Latino,2186-5,2019,2019,12,741.92
,500 - 999 grams,2,"Fulton County, GA",13121,Not Hispanic or Latino,2186-5,2019,2019,83,738.89
,500 - 999 grams,2,"Gwinnett County, GA",13135,Hispanic or Latino,2135-2,2019,2019,25,760.84
