"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 99"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Jasper","37,200","3,800","8,200","9","57","--","--","--","--","--"
"Jefferson","18,300","1,300","2,800","5","22","--","--","--","--","--"
"Johnson","151,100","12,800","30,000","79","191","--","--","--","--","--"
"Jones","20,700","2,100","4,400","*","35","--","--","--","--","--"
"Keokuk","10,200","1,100","2,400","*","19","--","--","--","--","--"
"Kossuth","14,800","1,500","3,300","10","28","--","--","--","--","--"
"Lee","33,700","3,200","7,100","36","93","--","--","--","--","--"
"Linn","226,700","23,800","52,200","391","988","--","--","--","--","--"
"Louisa","11,000","1,100","2,400","*","24","--","--","--","--","--"
"Lucas","8,600","900","2,000","5","22","--","--","--","--","--"
"Lyon","11,800","1,500","3,300","*","15","--","--","--","--","--"
"Madison","16,300","2,000","4,000","5","38","--","--","--","--","--"
"Mahaska","22,100","2,400","5,300","6","50","--","--","--","--","--"
"Marion","33,300","3,800","7,800","16","87","--","--","--","--","--"
"Marshall","39,400","4,700","10,000","33","106","--","--","--","--","--"
"Mills","15,100","1,700","3,500","10","44","--","--","--","--","--"
"Mitchell","10,600","1,200","2,500","5","23","--","--","--","--","--"
"Monona","8,600","900","1,900","9","12","--","--","--","--","--"
"Monroe","7,700","900","1,800","8","30","--","--","--","--","--"
"Montgomery","9,900","1,000","2,200","11","24","--","--","--","--","--"
"Muscatine","42,700","4,900","10,600","37","84","--","--","--","--","--"
"O'Brien","13,800","1,500","3,300","24","30","--","--","--","--","--"
"Osceola","6,000","700","1,400","6","18","--","--","--","--","--"
"Page","15,100","1,400","2,800","6","16","--","--","--","--","--"
"Palo Alto","8,900","1,000","2,100","*","31","--","--","--","--","--"
"Plymouth","25,200","3,000","6,300","8","51","--","--","--","--","--"
"Pocahontas","6,600","700","1,500","*","19","--","--","--","--","--"
"Polk","490,200","53,100","121,000","523","1,843","--","--","--","--","--"
"Pottawattamie","93,200","10,000","21,800","138","402","--","--","--","--","--"
"Poweshiek","18,500","1,700","3,600","7","38","--","--","--","--","--"
"Ringgold","4,900","600","1,100","*","7","--","--","--","--","--"
"Sac","9,700","1,000","2,200","5","12","--","--","--","--","--"
"Scott","172,900","18,600","40,800","379","462","--","--","--","--","--"
"Shelby","11,500","1,300","2,600","*","13","--","--","--","--","--"
"Sioux","34,900","4,300","9,400","18","63","--","--","--","--","--"
"Story","97,100","7,200","16,000","30","176","--","--","--","--","--"
"Tama","16,900","1,900","4,000","21","45","--","--","--","--","--"
"Taylor","6,100","600","1,400","0","5","--","--","--","--","--"
"Union","12,200","1,400","2,700","13","52","--","--","--","--","--"
"Van Buren","7,000","700","1,600","*","6","--","--","--","--","--"
"Wapello","35,000","3,600","7,900","49","165","--","--","--","--","--"
"Warren","51,500","6,000","12,700","23","133","--","--","--","--","--"
"Washington","22,000","2,400","5,400","31","87","--","--","--","--","--"
"Wayne","6,400","700","1,600","0","10","--","--","--","--","--"
"Webster","35,900","3,500","7,800","33","121","--","--","--","--","--"
"Winnebago","10,400","1,100","2,300","*","33","--","--","--","--","--"
"Winneshiek","20,000","1,900","3,700","6","23","--","--","--","--","--"
"Woodbury","103,100","12,100","26,700","68","573","--","--","--","--","--"
"Worth","7,400","700","1,500","0","20","--","--","--","--","--"
"Wright","12,600","1,400","3,100","10","37","--","--","--","--","--"

"Number of Reported Cases",,,,"2,904","9,252","--","--","--","--","--"
"Population Represented","3,155,100","331,000","726,800","331,000","331,000","--","--","--","--","--"
"Rates for Reporting Counties",,,,"8.77","27.95","--","--","--","--","--"
"Number of Reporting Counties",,,,"99","99","--","--","--","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Iowa Division of Criminal and Juvenile Justice Planning"
"Mode: Automated data file"
"1. Delinquency figures are cases disposed."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
