"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 62"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Rensselaer","158,700","10,400","27,000","67","28","61","--","--","--","--"
"Richmond","476,100","35,600","91,300","56","0","22","--","--","--","--"
"Rockland","325,800","30,800","82,400","29","57","14","--","--","--","--"
"St. Lawrence","107,700","7,600","19,000","10","68","25","--","--","--","--"
"Saratoga","229,900","15,700","39,600","46","57","12","--","--","--","--"
"Schenectady","155,300","11,200","29,700","48","77","36","--","--","--","--"
"Schoharie","31,000","1,900","4,700","*","10","20","--","--","--","--"
"Schuyler","17,800","1,200","2,900","11","7","*","--","--","--","--"
"Seneca","34,000","2,400","5,900","18","20","*","--","--","--","--"
"Steuben","95,400","7,000","17,800","28","22","12","--","--","--","--"
"Suffolk","1,476,600","108,300","270,000","223","126","80","--","--","--","--"
"Sullivan","75,400","5,400","14,000","20","25","12","--","--","--","--"
"Tioga","48,200","3,600","8,700","24","9","8","--","--","--","--"
"Tompkins","102,200","5,000","13,100","40","27","21","--","--","--","--"
"Ulster","177,600","11,100","27,100","52","33","35","--","--","--","--"
"Warren","63,900","4,100","10,100","13","19","11","--","--","--","--"
"Washington","61,200","4,000","10,000","11","--","8","--","--","--","--"
"Wayne","89,900","6,700","16,900","33","55","18","--","--","--","--"
"Westchester","967,500","73,200","184,300","197","136","117","--","--","--","--"
"Wyoming","39,900","2,600","6,500","6","10","5","--","--","--","--"
"Yates","24,900","1,800","4,800","5","5","*","--","--","--","--"

"Number of Reported Cases",,,,"4,664","4,746","1,650","--","--","--","--"
"Population Represented","19,453,600","1,327,300","3,572,200","1,327,300","1,323,200","1,327,300","--","--","--","--"
"Rates for Reporting Counties",,,,"3.51","3.59","1.24","--","--","--","--"
"Number of Reporting Counties",,,,"62","61","62","--","--","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Division of Criminal Justice Services"
"Mode: Statistical information pulled from Division of Criminal Justice Services website."
"1. Non-petitioned delinquency figures are cases closed as successfully adjusted.

Because there is only one city-wide probation department for NYC, all the boroughs of NYC (i.e., Bronx, Brooklyn, New York, Queens, and Richmond) are included under NYC Probation Department. These counties are left blank as a result and are all totaled under NYC."
"Source: Office of Court Administration"
"Mode: Automated data file"
"1. Petitioned delinquency figures are cases disposed."
"2. Petitioned status figures are cases disposed."
"AllCounties County "
"Source: YS Office of Court Administration"
"Mode: Information sent to NCJJ"
"1. In 2018, New York enacted legislation that raised the age of criminal responsibility to age 16, effective on 10/1/18, and age 17, effective on 10/1/19. These changes impact the court of jurisdiction for youths facing charges, depending on the type and severity of the alleged offense. For cases qualified to be heard in juvenile (Family) court, many proceedings involving detention or temporary orders of protection are now handled as pre-petition filings in which the youths' cases are removed to the jurisdiction of the family court but first may be successfully adjusted by the local probation department and never formally filed in Family Court. These pre-petition proceedings are not reflected in the counts above."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
