"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 75"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Lincoln","13,000","1,000","2,100","15","--","--","--","--","--","--"
"Little River","12,300","1,300","2,800","16","--","17","--","--","--","--"
"Logan","21,500","2,200","4,600","37","--","47","--","--","--","--"
"Lonoke","73,300","8,700","18,600","133","--","34","--","--","--","--"
"Madison","16,600","1,800","3,800","27","--","50","--","--","--","--"
"Marion","16,700","1,400","3,000","26","--","--","--","--","--","--"
"Miller","43,300","4,500","10,100","132","--","19","--","--","--","--"
"Mississippi","40,700","4,800","10,600","86","--","109","--","--","--","--"
"Monroe","6,700","600","1,400","8","--","13","--","--","--","--"
"Montgomery","9,000","800","1,700","--","--","--","--","--","--","--"
"Nevada","8,300","900","1,900","28","--","12","--","--","--","--"
"Newton","7,800","700","1,500","*","--","*","--","--","--","--"
"Ouachita","23,400","2,400","5,200","81","--","25","--","--","--","--"
"Perry","10,500","1,100","2,400","*","--","10","--","0","--","--"
"Phillips","17,800","2,000","4,600","--","--","52","--","--","--","--"
"Pike","10,700","1,100","2,300","13","--","12","--","--","--","--"
"Poinsett","23,500","2,500","5,600","--","--","138","--","--","--","--"
"Polk","20,000","2,200","4,500","5","--","*","--","--","--","--"
"Pope","64,100","6,500","14,500","113","--","93","--","--","--","--"
"Prairie","8,100","700","1,600","7","--","21","--","--","--","--"
"Pulaski","391,900","39,400","90,400","823","--","309","--","--","--","--"
"Randolph","18,000","1,900","4,300","48","--","43","--","--","--","--"
"St. Francis","25,000","2,300","5,200","48","--","--","--","--","--","--"
"Saline","122,400","13,500","28,300","190","--","265","--","--","--","--"
"Scott","10,300","1,100","2,400","14","--","15","--","--","--","--"
"Searcy","7,900","700","1,500","--","--","*","--","--","--","--"
"Sebastian","127,800","13,700","30,700","269","--","338","--","--","--","--"
"Sevier","17,000","2,200","4,900","18","--","59","--","--","--","--"
"Sharp","17,400","1,700","3,600","57","--","66","--","--","--","--"
"Stone","12,500","1,100","2,400","--","--","--","--","--","--","--"
"Union","38,700","4,200","9,300","49","--","26","--","--","--","--"
"Van Buren","16,500","1,600","3,200","8","--","17","--","--","--","--"
"Washington","239,200","25,700","57,800","772","--","298","--","--","--","--"
"White","78,800","8,500","18,100","136","--","42","--","--","--","--"
"Woodruff","6,300","600","1,400","23","--","19","--","--","--","--"
"Yell","21,300","2,500","5,200","53","--","37","--","--","--","--"

"Number of Reported Cases",,,,"6,092","--","4,469","--","--","--","--"
"Population Represented","3,017,800","318,900","700,200","299,800","--","295,100","--","2,400","--","--"
"Rates for Reporting Counties",,,,"20.32","--","15.15","--","0.00","--","--"
"Number of Reporting Counties",,,,"64","--","60","--","1","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Administrative Office of the Courts, State of Arkansas"
"Mode: Automated data file."
"1. Delinquency figures are cases disposed."
"2. Status figures are cases disposed."
"3. Dependency figures are cases disposed."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
