"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 102"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Wayne","16,200","1,700","3,700","11","--","0","--","22","--","--"
"White","13,500","1,400","3,000","59","--","*","--","12","--","--"
"Whiteside","55,200","5,600","12,100","40","--","10","--","40","--","--"
"Will","690,700","84,200","168,800","438","--","10","--","181","--","--"
"Williamson","66,600","6,500","14,500","30","--","30","--","111","--","--"
"Winnebago","282,600","30,200","66,000","306","--","16","--","384","--","--"
"Woodford","38,500","4,400","9,200","19","--","0","--","16","--","--"

"Number of Reported Cases",,,,"9,507","1,159","305","--","5,539","--","--"
"Population Represented","12,671,800","1,301,200","2,817,900","1,301,200","496,200","1,301,200","--","2,817,900","--","--"
"Rates for Reporting Counties",,,,"7.31","2.34","0.23","--","1.97","--","--"
"Number of Reporting Counties",,,,"102","1","102","--","102","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Administrative Office of the Illinois Courts, Probation Services Division"
"Mode: 2019 Annual Report of Illinois Courts, Statistical Summary"
"1. Delinquency figures are the number of cases disposed."
"2. Status figures are the number of cases disposed. Minors requiring authoritative intervention (MRAI), addicted minors and truancy counts were summed to determine status figures."
"3. Dependency figures are the number of cases disposed."
"Cook County"
"Source: Cook County State Attorney's Office"
"Mode: Cook County 2019 Statistics"
"1. Non-petitioned delinquency figures are the number of diverted cases."
"Cook County"
"Source: Juvenile Court of Cook County"
"Mode: Automated data file"
"1. Petitioned delinquency figures are cases disposed."
"2. Petitioned status figures are cases disposed."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
