"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 133"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Montgomery","98,500","6,700","15,100","135","64","29","54","--","--","--"
"Nelson","14,900","1,300","2,700","49","52","28","8","--","--","--"
"New Kent","23,100","2,200","4,600","64","29","6","13","--","--","--"
"Northampton","11,700","1,000","2,300","43","36","15","*","--","--","--"
"Northumberland","12,100","800","1,800","33","0","14","0","--","--","--"
"Nottoway","15,200","1,400","3,000","53","10","10","5","--","--","--"
"Orange","37,100","3,500","7,800","55","31","31","21","--","--","--"
"Page","23,900","2,300","4,700","70","30","15","*","--","--","--"
"Patrick","17,600","1,500","3,000","18","9","6","9","--","--","--"
"Pittsylvania","60,400","5,700","11,100","96","34","39","47","--","--","--"
"Powhatan","29,700","2,600","5,400","30","14","11","6","--","--","--"
"Prince Edward","22,800","1,600","3,600","50","12","14","*","--","--","--"
"Prince George","38,400","3,800","8,400","88","--","*","--","--","--","--"
"Prince William","470,300","57,200","126,300","844","798","98","194","--","--","--"
"Pulaski","34,000","2,800","5,900","97","28","45","17","--","--","--"
"Rappahannock","7,400","600","1,200","7","10","*","*","--","--","--"
"Richmond","9,000","700","1,500","*","0","*","*","--","--","--"
"Roanoke","94,200","9,200","18,500","248","127","87","33","--","--","--"
"Rockbridge","22,600","1,900","3,900","76","20","36","11","--","--","--"
"Rockingham","81,900","8,300","17,800","120","65","37","24","--","--","--"
"Russell","26,600","2,400","5,000","48","27","20","14","--","--","--"
"Scott","21,600","1,900","3,800","35","22","20","37","--","--","--"
"Shenandoah","43,600","4,200","9,200","251","64","79","48","--","--","--"
"Smyth","30,100","2,800","5,800","49","56","21","17","--","--","--"
"Southampton","17,600","1,600","3,300","26","15","*","*","--","--","--"
"Spotsylvania","136,200","16,100","33,400","161","93","58","15","--","--","--"
"Stafford","152,900","19,000","39,600","163","347","34","45","--","--","--"
"Surry","6,400","500","1,100","5","*","0","0","--","--","--"
"Sussex","11,200","800","1,700","33","*","6","*","--","--","--"
"Tazewell","40,600","3,700","7,800","79","25","100","40","--","--","--"
"Warren","40,200","4,000","8,700","171","42","30","*","--","--","--"
"Washington","53,700","4,700","9,700","61","27","18","31","--","--","--"
"Westmoreland","18,000","1,500","3,400","33","13","36","*","--","--","--"
"Wise","37,400","3,400","7,100","106","27","72","89","--","--","--"
"Wythe","28,700","2,700","5,700","60","52","41","22","--","--","--"
"York","68,300","7,800","16,000","114","49","16","35","--","--","--"
"Alexandria City","159,400","10,000","28,700","183","154","44","22","--","--","--"
"Bristol City","16,800","1,600","3,400","38","21","8","35","--","--","--"
"Buena Vista City","6,500","600","1,300","32","7","41","10","--","--","--"
"Charlottesville City","47,300","2,800","7,500","72","14","16","18","--","--","--"
"Chesapeake City","244,800","27,500","59,100","497","215","89","70","--","--","--"
"Colonial Heights City","17,400","1,800","4,100","155","87","21","21","--","--","--"
"Covington City","5,500","500","1,200","17","5","14","6","--","--","--"
"Danville City","40,000","3,900","8,600","196","71","89","11","--","--","--"
"Emporia City","5,300","600","1,300","39","10","14","0","--","--","--"
"Fairfax City","24,000","2,100","5,900","--","--","--","--","--","--","--"
"Falls Church City","14,600","1,800","3,600","33","*","13","*","--","--","--"
"Franklin City","8,000","900","2,100","21","10","7","*","--","--","--"
"Fredericksburg City","29,000","2,400","6,200","80","92","28","23","--","--","--"
"Galax City","6,300","700","1,500","29","18","7","10","--","--","--"
"Hampton City","134,500","12,200","28,200","528","137","272","82","--","--","--"
"Harrisonburg City","53,000","3,600","8,800","117","49","41","22","--","--","--"
"Hopewell City","22,500","2,500","5,900","174","75","28","*","--","--","--"
"Lexington City","7,400","400","1,000","8","*","*","*","--","--","--"
"Lynchburg City","82,200","6,500","15,900","366","31","185","28","--","--","--"
"Manassas City","41,100","4,600","11,000","221","70","24","34","--","--","--"
"Manassas Park City","17,500","2,000","3,900","39","17","*","24","--","--","--"
"Martinsville City","12,600","1,400","3,200","56","18","11","43","--","--","--"
"Newport News City","179,200","16,800","41,500","560","172","192","71","--","--","--"
"Norfolk City","242,700","18,100","47,000","624","158","101","55","--","--","--"
"Norton City","4,000","400","900","16","5","14","29","--","--","--"
"Petersburg City","31,300","2,500","7,100","128","25","28","21","--","--","--"
"Poquoson City","12,300","1,400","2,700","35","*","9","*","--","--","--"
"Portsmouth City","94,400","8,700","21,800","219","132","56","54","--","--","--"
"Radford City","18,200","1,000","2,300","33","18","9","7","--","--","--"
"Richmond City","230,400","15,300","39,700","667","228","148","47","--","--","--"
"Roanoke City","99,100","9,300","22,100","375","126","193","100","--","--","--"
"Salem City","25,300","2,300","4,900","136","20","16","8","--","--","--"
"Staunton City","24,900","2,000","4,800","128","14","50","10","--","--","--"
"Suffolk City","92,100","9,900","22,000","272","94","53","11","--","--","--"
"Virginia Beach City","450,000","43,400","99,000","802","375","72","64","--","--","--"
"Waynesboro City","22,600","2,300","5,400","97","12","31","36","--","--","--"
"Williamsburg City","15,000","700","1,600","25","9","0","*","--","--","--"
"Winchester City","28,100","2,800","6,300","170","16","20","7","--","--","--"

"Number of Reported Cases",,,,"17,192","8,303","4,938","3,098","--","--","--"
"Population Represented","8,535,500","840,500","1,860,800","838,400","834,600","838,400","834,600","--","--","--"
"Rates for Reporting Counties",,,,"20.51","9.95","5.89","3.71","--","--","--"
"Number of Reporting Counties",,,,"132","131","132","131","--","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Department of Juvenile Justice and the Virginia Supreme Court"
"Mode: Automated data file"
"1. Delinquency figures are cases disposed."
"2. Status figures are cases disposed."
"3. Fairfax City reports with Fairfax County."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
