"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 77"

,"2018 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Pottawatomie","72,700","7,900","17,200","55","141","*","27","--","--","--"
"Pushmataha","11,200","1,100","2,500","12","35","0","*","--","--","--"
"Roger Mills","3,700","400","900","*","6","0","*","--","--","--"
"Rogers","92,000","10,300","21,500","112","91","*","24","--","--","--"
"Seminole","24,600","2,800","6,100","25","69","*","*","--","--","--"
"Sequoyah","41,200","4,400","9,400","49","35","0","8","--","--","--"
"Stephens","43,300","4,700","10,000","36","42","0","*","--","--","--"
"Texas","20,500","2,500","5,700","23","51","*","12","--","--","--"
"Tillman","7,300","800","1,700","6","13","0","*","--","--","--"
"Tulsa","648,400","71,800","164,000","1,071","767","49","94","--","--","--"
"Wagoner","80,100","9,200","19,500","63","77","0","5","--","--","--"
"Washington","51,800","5,600","12,400","62","131","0","55","--","--","--"
"Washita","11,100","1,300","2,800","12","*","9","14","--","--","--"
"Woods","8,900","700","1,800","13","*","0","*","--","--","--"
"Woodward","20,200","2,200","4,900","58","57","*","41","--","--","--"

"Number of Reported Cases",,,,"4,297","4,635","160","1,127","--","--","--"
"Population Represented","3,943,100","428,300","956,500","428,300","428,300","428,300","428,300","--","--","--"
"Rates for Reporting Counties",,,,"10.03","10.82","0.37","2.63","--","--","--"
"Number of Reporting Counties",,,,"77","77","77","77","--","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Oklahoma Office of Juvenile Affairs"
"Mode: Automated data file"
"1. Delinquency figures are cases disposed."
"2. Status figures are cases disposed."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
