"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 88"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Lawrence","59,500","6,100","12,800","158","--","87","--","36","--","--"
"Licking","176,900","18,700","40,600","464","--","76","--","252","--","--"
"Logan","45,700","4,900","10,500","224","--","76","--","92","--","--"
"Lorain","309,800","31,600","67,500","905","--","206","--","299","--","--"
"Lucas","428,300","43,900","98,300","1,617","450","381","473","--","--","--"
"Madison","44,700","4,300","9,100","93","--","52","--","21","--","--"
"Mahoning","228,700","21,300","45,500","401","--","45","--","401","--","--"
"Marion","65,100","6,000","13,700","471","--","53","--","412","--","--"
"Medina","179,700","19,500","39,600","418","--","132","--","61","--","--"
"Meigs","22,900","2,400","4,800","91","--","18","--","95","--","--"
"Mercer","41,200","4,600","10,700","253","--","46","--","186","--","--"
"Miami","107,000","11,500","24,600","471","--","284","--","114","--","--"
"Monroe","13,700","1,200","2,700","83","--","21","--","8","--","--"
"Montgomery","531,700","51,900","116,700","1,831","--","264","--","833","--","--"
"Morgan","14,500","1,500","3,000","64","--","0","--","17","--","--"
"Morrow","35,300","3,900","8,000","110","--","44","--","34","--","--"
"Muskingum","86,200","8,800","19,400","366","--","327","--","207","--","--"
"Noble","14,400","1,200","2,700","17","--","12","--","48","--","--"
"Ottawa","40,500","3,700","7,300","311","--","73","--","41","--","--"
"Paulding","18,700","2,100","4,400","103","--","39","--","14","--","--"
"Perry","36,100","4,000","8,500","149","--","55","--","77","--","--"
"Pickaway","58,500","5,900","12,400","132","--","16","--","107","--","--"
"Pike","27,800","3,100","6,500","32","--","11","--","72","--","--"
"Portage","162,500","14,700","30,100","374","--","62","--","310","--","--"
"Preble","40,900","4,500","9,100","172","--","19","--","71","--","--"
"Putnam","33,900","3,900","8,600","73","--","17","--","33","--","--"
"Richland","121,200","12,000","26,100","601","--","222","--","276","--","--"
"Ross","76,700","7,600","16,200","323","--","139","--","250","--","--"
"Sandusky","58,500","6,200","12,900","490","--","37","--","84","--","--"
"Scioto","75,300","7,500","16,300","252","--","153","--","154","--","--"
"Seneca","55,200","5,800","12,000","255","--","34","--","43","--","--"
"Shelby","48,600","5,600","12,000","158","--","48","--","92","--","--"
"Stark","370,600","36,800","78,900","1,027","--","229","--","277","--","--"
"Summit","541,000","51,200","112,200","1,618","--","298","--","1,108","--","--"
"Trumbull","198,000","19,000","40,200","535","--","40","--","154","--","--"
"Tuscarawas","92,000","9,500","21,000","273","--","71","--","32","--","--"
"Union","59,000","6,700","14,500","135","--","47","--","74","--","--"
"Van Wert","28,300","3,100","6,600","119","--","61","--","36","--","--"
"Vinton","13,100","1,300","2,800","85","--","33","--","38","--","--"
"Warren","234,600","27,900","56,700","743","--","282","--","316","--","--"
"Washington","59,900","5,600","11,800","155","--","44","--","42","--","--"
"Wayne","115,700","12,700","28,000","481","--","183","--","121","--","--"
"Williams","36,700","3,900","8,300","180","--","17","--","74","--","--"
"Wood","130,800","12,400","26,600","722","--","64","--","508","--","--"
"Wyandot","21,800","2,400","4,900","107","--","30","--","20","--","--"

"Number of Reported Cases",,,,"38,491","913","11,357","805","16,786","--","--"
"Population Represented","11,689,100","1,178,700","2,578,000","1,178,700","125,800","1,178,700","125,800","2,038,500","--","--"
"Rates for Reporting Counties",,,,"32.65","7.26","9.63","6.40","8.23","--","--"
"Number of Reporting Counties",,,,"88","2","88","2","85","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"all counties except those listed in the next four notes"
"Source: Supreme Court of Ohio"
"Mode: 2019 Ohio Courts Statistical Report"
"1. Delinquency figures are petition terminations. "
"2. Status figures are unruly petition terminations."
"3. Dependency figures include dependency, neglect, and abuse petition terminations. "
"Cuyahoga County "
"Source: Cuyahoga County Juvenile Court"
"Mode: Automated data file"
"1. Delinquency figures are cases disposed."
"2. Status figures are cases disposed."
"3. Dependency figures are cases disposed."
"Franklin County "
"Source: Franklin County Court of Common Pleas"
"Mode: Automated data file"
"1. Delinquency figures are cases disposed."
"2. Status figures are cases disposed."
"3. Dependency figures are cases disposed."
"Hamilton County "
"Source: Hamilton County Juvenile Court"
"Mode: Automated data file"
"1. Delinquency figures are cases disposed."
"2. Status figures are cases disposed."
"Lucas County "
"Source: Lucas County Juvenile Court"
"Mode: Automated data file"
"1. Delinquency figures are cases referred."
"2. Status figures are cases referred."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
