"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 72"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Kenosha","169,600","15,800","35,700","314","--","112","--","218","--","--"
"Kewaunee","20,400","1,800","4,100","32","--","34","--","0","--","--"
"La Crosse","118,000","9,600","21,900","41","--","30","--","66","--","--"
"Lafayette","16,700","1,600","3,700","26","--","12","--","24","--","--"
"Langlade","19,200","1,500","3,500","139","--","109","--","52","--","--"
"Lincoln","27,600","2,100","4,700","12","--","43","--","43","--","--"
"Manitowoc","79,000","6,800","15,100","163","--","15","--","120","--","--"
"Marathon","135,700","12,700","29,000","144","--","120","--","100","--","--"
"Marinette","40,400","3,200","7,100","37","--","32","--","40","--","--"
"Marquette","15,600","1,200","2,800","26","--","8","--","5","--","--"
"Menominee","4,600","600","1,400","--","--","--","--","--","--","--"
"Milwaukee","945,700","86,300","213,500","969","--","0","--","991","--","--"
"Monroe","46,300","4,700","11,000","51","--","33","--","83","--","--"
"Oconto","37,900","3,200","7,200","48","--","8","--","34","--","--"
"Oneida","35,600","2,500","5,700","102","--","247","--","42","--","--"
"Outagamie","187,900","17,700","41,300","301","--","150","--","151","--","--"
"Ozaukee","89,200","7,900","17,700","54","--","*","--","51","--","--"
"Pepin","7,300","600","1,500","*","--","9","--","9","--","--"
"Pierce","42,800","3,800","8,300","31","--","19","--","64","--","--"
"Polk","43,800","3,900","8,500","47","--","41","--","46","--","--"
"Portage","70,800","5,500","12,700","72","--","100","--","103","--","--"
"Price","13,400","1,000","2,200","20","--","63","--","29","--","--"
"Racine","196,300","18,000","42,200","338","--","23","--","137","--","--"
"Richland","17,300","1,700","3,500","13","--","20","--","10","--","--"
"Rock","163,400","15,300","35,200","480","--","201","--","133","--","--"
"Rusk","14,200","1,200","2,700","27","--","13","--","19","--","--"
"St. Croix","90,700","9,400","20,900","99","--","33","--","75","--","--"
"Sauk","64,400","5,900","13,800","163","--","405","--","11","--","--"
"Sawyer","16,600","1,300","3,000","15","--","109","--","24","--","--"
"Shawano","40,900","3,700","8,200","154","--","83","--","46","--","--"
"Sheboygan","115,300","10,600","23,700","221","--","55","--","148","--","--"
"Taylor","20,300","2,000","4,500","21","--","43","--","15","--","--"
"Trempealeau","29,600","2,900","7,000","34","--","51","--","24","--","--"
"Vernon","30,800","3,200","7,600","19","--","13","--","29","--","--"
"Vilas","22,200","1,500","3,500","48","--","52","--","28","--","--"
"Walworth","103,900","9,100","19,700","75","--","*","--","60","--","--"
"Washburn","15,700","1,300","2,800","10","--","33","--","9","--","--"
"Washington","136,000","12,600","27,600","127","--","37","--","68","--","--"
"Waukesha","404,200","36,600","80,500","125","--","122","--","124","--","--"
"Waupaca","51,000","4,300","9,600","110","--","46","--","18","--","--"
"Waushara","24,400","1,800","4,200","67","--","46","--","8","--","--"
"Winnebago","171,900","13,900","33,000","532","--","331","--","101","--","--"
"Wood","73,000","6,400","14,800","47","--","32","--","98","--","--"

"Number of Reported Cases",,,,"7,575","--","4,488","--","4,765","--","--"
"Population Represented","5,822,400","515,100","1,192,800","514,500","--","514,500","--","1,191,400","--","--"
"Rates for Reporting Counties",,,,"14.72","--","8.72","--","4.00","--","--"
"Number of Reporting Counties",,,,"71","--","71","--","71","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Supreme Court of Wisconsin"
"Mode: Automated data file"
"1. Delinquency figures are cases disposed."
"2. Status figures are cases disposed."
"3. Dependency figures are cases disposed."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
