"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 100"

,"2018 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Surry","71,900","5,500","13,300","100","41","9","21","--","--","--"
"Swain","14,200","1,000","2,800","11","8","7","15","--","--","--"
"Transylvania","34,200","1,900","4,700","17","10","21","7","--","--","--"
"Tyrrell","4,100","300","700","*","6","0","*","--","--","--"
"Union","235,900","24,600","54,700","133","168","14","15","--","--","--"
"Vance","44,600","3,600","9,200","53","23","10","8","--","--","--"
"Wake","1,092,300","91,800","231,500","381","225","48","42","--","--","--"
"Warren","19,800","1,300","3,200","8","20","0","0","--","--","--"
"Washington","11,900","800","2,100","7","*","0","*","--","--","--"
"Watauga","55,900","2,500","6,300","15","12","6","*","--","--","--"
"Wayne","123,200","9,700","25,900","41","43","0","0","--","--","--"
"Wilkes","68,600","5,100","12,200","80","46","12","20","--","--","--"
"Wilson","81,500","6,500","16,500","100","34","*","7","--","--","--"
"Yadkin","37,500","2,700","6,800","39","18","8","*","--","--","--"
"Yancey","17,900","1,200","2,900","10","*","6","6","--","--","--"

"Number of Reported Cases",,,,"7,244","5,489","1,250","1,184","--","--","--"
"Population Represented","10,383,600","795,500","2,033,700","795,500","795,500","795,500","795,500","--","--","--"
"Rates for Reporting Counties",,,,"9.11","6.90","1.57","1.49","--","--","--"
"Number of Reporting Counties",,,,"100","100","100","100","--","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: The North Carolina Department of Juvenile Justice and Delinquency Prevention"
"Mode: Automated data file"
"1. Delinquency figures are cases disposed."
"2. Status figures are cases disposed."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
