"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 87"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Lyon","25,500","2,800","6,600","41","--","33","--","--","--","--"
"McLeod","35,900","3,900","8,200","107","--","60","--","--","--","--"
"Mahnomen","5,500","700","1,800","55","--","13","--","--","--","--"
"Marshall","9,300","1,000","2,100","7","--","*","--","--","--","--"
"Martin","19,700","2,000","4,300","58","--","30","--","--","--","--"
"Meeker","23,200","2,700","5,600","28","--","15","--","--","--","--"
"Mille Lacs","26,300","2,800","6,200","161","--","47","--","--","--","--"
"Morrison","33,400","3,700","7,800","70","--","55","--","--","--","--"
"Mower","40,100","4,600","10,000","165","--","91","--","--","--","--"
"Murray","8,200","800","1,800","15","--","6","--","--","--","--"
"Nicollet","34,300","3,500","7,500","91","--","84","--","--","--","--"
"Nobles","21,600","2,400","6,000","64","--","17","--","--","--","--"
"Norman","6,400","700","1,500","8","--","*","--","--","--","--"
"Olmsted","158,300","17,300","38,700","308","--","77","--","--","--","--"
"Otter Tail","58,700","5,800","12,800","140","--","65","--","--","--","--"
"Pennington","14,100","1,400","3,200","29","--","34","--","--","--","--"
"Pine","29,600","2,800","5,700","87","--","32","--","--","--","--"
"Pipestone","9,100","1,000","2,400","10","--","10","--","--","--","--"
"Polk","31,400","3,500","7,700","109","--","41","--","--","--","--"
"Pope","11,200","1,100","2,400","29","--","17","--","--","--","--"
"Ramsey","550,300","54,100","128,000","986","--","264","--","--","--","--"
"Red Lake","4,100","400","1,000","*","--","0","--","--","--","--"
"Redwood","15,200","1,800","3,800","67","--","31","--","--","--","--"
"Renville","14,500","1,500","3,400","40","--","17","--","--","--","--"
"Rice","67,000","6,700","14,500","104","--","49","--","--","--","--"
"Rock","9,300","1,200","2,300","7","--","19","--","--","--","--"
"Roseau","15,200","1,700","3,700","37","--","11","--","--","--","--"
"St. Louis","199,100","17,300","37,600","635","--","236","--","--","--","--"
"Scott","149,000","19,100","40,400","260","--","101","--","--","--","--"
"Sherburne","97,200","11,900","25,500","214","--","191","--","--","--","--"
"Sibley","14,900","1,700","3,400","67","--","28","--","--","--","--"
"Stearns","161,100","16,500","37,400","590","--","187","--","--","--","--"
"Steele","36,600","4,300","9,000","73","--","40","--","--","--","--"
"Stevens","9,800","900","2,100","8","--","6","--","--","--","--"
"Swift","9,300","1,000","2,200","43","--","13","--","--","--","--"
"Todd","24,700","2,600","5,900","50","--","36","--","--","--","--"
"Traverse","3,300","300","700","9","--","11","--","--","--","--"
"Wabasha","21,600","2,200","4,700","42","--","32","--","--","--","--"
"Wadena","13,700","1,700","3,500","43","--","38","--","--","--","--"
"Waseca","18,600","2,100","4,300","62","--","20","--","--","--","--"
"Washington","262,400","30,700","63,700","444","--","181","--","--","--","--"
"Watonwan","10,900","1,100","2,600","27","--","26","--","--","--","--"
"Wilkin","6,200","600","1,400","27","--","5","--","--","--","--"
"Winona","50,500","4,200","9,000","75","--","69","--","--","--","--"
"Wright","138,400","18,300","38,400","354","--","87","--","--","--","--"
"Yellow Medicine","9,700","1,100","2,200","29","--","8","--","--","--","--"

"Number of Reported Cases",,,,"12,985","--","5,323","--","--","--","--"
"Population Represented","5,639,600","588,700","1,303,200","588,700","--","588,700","--","--","--","--"
"Rates for Reporting Counties",,,,"22.06","--","9.04","--","--","--","--"
"Number of Reporting Counties",,,,"87","--","87","--","--","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"All Counties"
"Source: Minnesota Supreme Court"
"Mode: Automated data file"
"1. Delinquency figures are cases disposed."
"2. Status figures are cases disposed."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
