"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 67"

,"2019 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Monroe","74,200","4,800","11,300","14","119","0","--","--","--","--"
"Nassau","88,600","8,000","17,500","59","53","0","--","--","--","--"
"Okaloosa","210,700","19,800","46,800","364","281","122","--","--","--","--"
"Okeechobee","42,200","3,900","9,000","152","89","0","--","--","--","--"
"Orange","1,393,500","137,000","306,000","1,994","1,649","0","--","--","--","--"
"Osceola","375,800","42,400","90,600","351","504","0","--","--","--","--"
"Palm Beach","1,496,800","130,700","283,800","1,504","1,363","0","--","--","--","--"
"Pasco","553,900","52,300","112,100","895","369","5","--","--","--","--"
"Pinellas","975,000","71,500","155,000","1,638","1,097","0","--","--","--","--"
"Polk","724,800","73,800","159,200","1,927","727","6","--","--","--","--"
"Putnam","74,500","7,200","15,800","89","146","*","--","--","--","--"
"St. Johns","264,700","28,300","57,200","217","171","*","--","--","--","--"
"St. Lucie","328,300","30,000","64,100","582","332","0","--","--","--","--"
"Santa Rosa","184,300","18,900","40,200","221","199","*","--","--","--","--"
"Sarasota","433,700","29,500","60,900","291","188","*","--","--","--","--"
"Seminole","471,800","46,600","98,200","487","771","*","--","--","--","--"
"Sumter","132,400","4,200","9,400","37","111","0","--","--","--","--"
"Suwannee","44,400","4,400","9,300","110","44","0","--","--","--","--"
"Taylor","21,600","1,900","4,300","49","32","*","--","--","--","--"
"Union","15,200","1,400","3,000","28","16","0","--","--","--","--"
"Volusia","553,300","44,200","96,800","851","907","0","--","--","--","--"
"Wakulla","33,700","3,400","7,000","40","45","0","--","--","--","--"
"Walton","74,100","6,700","15,100","46","75","50","--","--","--","--"
"Washington","25,500","2,400","5,100","31","18","0","--","--","--","--"

"Number of Reported Cases",,,,"24,612","21,838","203","--","--","--","--"
"Population Represented","21,477,700","1,923,800","4,229,900","1,923,800","1,923,800","1,923,800","--","--","--","--"
"Rates for Reporting Counties",,,,"12.79","11.35","0.11","--","--","--","--"
"Number of Reporting Counties",,,,"67","67","67","--","--","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: State of Florida Department of Juvenile Justice"
"Mode: Automated data file"
"1. Delinquency figures are cases disposed."
"2. Status figures are cases disposed.  They represent only those cases disposed by the Department of Juvenile Justice.  Cases disposed by the Florida Network, the Department of Juvenile Justice's major contracted provider of CINS/FINS centralized intake, are not included in these figures."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2021)."
"Easy Access to State and County Juvenile Court Case Counts, 2019. Online. Available: https://www.ojjdp.gov/ojstatbb/ezaco/."
